Fitting AMICA model
Starting AMICA fitting...
Starting optimization...
Final LL: 1.514409e+06, Gradient norm: 4.950805e-10
Converged due to small gradient norm
Optimization finished after 73 iterations
Results saved to pyAMICA/sample_data/pyresults
18035 nd = 901.0117357062, D = -2.80007e+02 -2.80007e+02  ( 2.29 s,  0.4 h)
 iter    66 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000079794, D = 0.00000e+00 0.00000e+00  (38.81 s,  0.3 h)
 iter    67 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000019995, D = 0.00000e+00 0.00000e+00  (39.42 s,  0.3 h)
 iter    68 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000005010, D = 0.00000e+00 0.00000e+00  (39.96 s,  0.3 h)
 iter    69 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000001255, D = 0.00000e+00 0.00000e+00  (40.44 s,  0.3 h)
 iter    70 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000000315, D = 0.00000e+00 0.00000e+00  (40.95 s,  0.3 h)
 iter    71 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000000079, D = 0.00000e+00 0.00000e+00  (41.43 s,  0.3 h)
 iter    72 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000000020, D = 0.00000e+00 0.00000e+00  (41.87 s,  0.3 h)
 iter    73 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000000005, D = 0.00000e+00 0.00000e+00  (42.40 s,  0.3 h)
Final LL: 1.514409e+06, Gradient norm: 4.950805e-10
Converged due to small gradient norm
