 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter    63 lrate =  1.0000000000 LL =  -3.4282377585 nd =  0.0052395108, D =   0.27645E-01  0.27645E-01  (  0.04 s,   0.0 h)
 iter    64 lrate =  1.0000000000 LL =  -3.4271732885 nd =  0.0049925272, D =   0.26101E-01  0.26101E-01  (  0.05 s,   0.0 h)
 iter    65 lrate =  1.0000000000 LL =  -3.4262036204 nd =  0.0047770353, D =   0.25116E-01  0.25116E-01  (  0.02 s,   0.0 h)
 iter    66 lrate =  1.0000000000 LL =  -3.4253170143 nd =  0.0046012096, D =   0.24590E-01  0.24590E-01  (  0.02 s,   0.0 h)
 iter    67 lrate =  1.0000000000 LL =  -3.4244971867 nd =  0.0044391546, D =   0.24395E-01  0.24395E-01  (  0.02 s,   0.0 h)
 iter    68 lrate =  1.0000000000 LL =  -3.4237383387 nd =  0.0042974290, D =   0.24424E-01  0.24424E-01  (  0.03 s,   0.0 h)
 iter    69 lrate =  1.0000000000 LL =  -3.4230313234 nd =  0.0041642352, D =   0.24561E-01  0.24561E-01  (  0.04 s,   0.0 h)
 iter    70 lrate =  1.0000000000 LL =  -3.4223649261 nd =  0.0040517441, D =   0.24747E-01  0.24747E-01  (  0.05 s,   0.0 h)
 iter    71 lrate =  1.0000000000 LL =  -3.4217348835 nd =  0.0039513525, D =   0.24946E-01  0.24946E-01  (  0.02 s,   0.0 h)
 iter    72 lrate =  1.0000000000 LL =  -3.4211397347 nd =  0.0038473381, D =   0.25160E-01  0.25160E-01  (  0.02 s,   0.0 h)
 iter    73 lrate =  1.0000000000 LL =  -3.4205701874 nd =  0.0037637667, D =   0.25406E-01  0.25406E-01  (  0.02 s,   0.0 h)
 iter    74 lrate =  1.0000000000 LL =  -3.4200229492 nd =  0.0037007423, D =   0.25691E-01  0.25691E-01  (  0.02 s,   0.0 h)
 iter    75 lrate =  1.0000000000 LL =  -3.4194913672 nd =  0.0036364273, D =   0.25995E-01  0.25995E-01  (  0.02 s,   0.0 h)
 iter    76 lrate =  1.0000000000 LL =  -3.4189751019 nd =  0.0035826652, D =   0.26321E-01  0.26321E-01  (  0.02 s,   0.0 h)
 iter    77 lrate =  1.0000000000 LL =  -3.4184715662 nd =  0.0035326216, D =   0.26674E-01  0.26674E-01  (  0.02 s,   0.0 h)
 iter    78 lrate =  1.0000000000 LL =  -3.4179800944 nd =  0.0034779642, D =   0.27011E-01  0.27011E-01  (  0.02 s,   0.0 h)
 iter    79 lrate =  1.0000000000 LL =  -3.4175031904 nd =  0.0034163918, D =   0.27373E-01  0.27373E-01  (  0.02 s,   0.0 h)
 iter    80 lrate =  1.0000000000 LL =  -3.4170421648 nd =  0.0033443814, D =   0.27753E-01  0.27753E-01  (  0.02 s,   0.0 h)
 iter    81 lrate =  1.0000000000 LL =  -3.4165991244 nd =  0.0032713192, D =   0.28167E-01  0.28167E-01  (  0.13 s,   0.0 h)
 iter    82 lrate =  1.0000000000 LL =  -3.4161746022 nd =  0.0031833160, D =   0.28597E-01  0.28597E-01  (  0.02 s,   0.0 h)
 iter    83 lrate =  1.0000000000 LL =  -3.4157734891 nd =  0.0030835255, D =   0.29039E-01  0.29039E-01  (  0.02 s,   0.0 h)
 iter    84 lrate =  1.0000000000 LL =  -3.4153969826 nd =  0.0029978656, D =   0.29484E-01  0.29484E-01  (  0.02 s,   0.0 h)
 iter    85 lrate =  1.0000000000 LL =  -3.4150399527 nd =  0.0029184131, D =   0.29948E-01  0.29948E-01  (  0.04 s,   0.0 h)
 iter    86 lrate =  1.0000000000 LL =  -3.4147018779 nd =  0.0028381793, D =   0.30433E-01  0.30433E-01  (  0.04 s,   0.0 h)
 iter    87 lrate =  1.0000000000 LL =  -3.4143818410 nd =  0.0027631134, D =   0.30930E-01  0.30930E-01  (  0.02 s,   0.0 h)
 iter    88 lrate =  1.0000000000 LL =  -3.4140779839 nd =  0.0026993252, D =   0.31410E-01  0.31410E-01  (  0.02 s,   0.0 h)
 iter    89 lrate =  1.0000000000 LL =  -3.4137877344 nd =  0.0026406392, D =   0.31873E-01  0.31873E-01  (  0.03 s,   0.0 h)
 iter    90 lrate =  1.0000000000 LL =  -3.4135103087 nd =  0.0025937633, D =   0.32330E-01  0.32330E-01  (  0.04 s,   0.0 h)
 iter    91 lrate =  1.0000000000 LL =  -3.4132429738 nd =  0.0025485440, D =   0.32770E-01  0.32770E-01  (  0.04 s,   0.0 h)
 iter    92 lrate =  1.0000000000 LL =  -3.4129851873 nd =  0.0025091508, D =   0.33194E-01  0.33194E-01  (  0.03 s,   0.0 h)
 iter    93 lrate =  1.0000000000 LL =  -3.4127351406 nd =  0.0024692381, D =   0.33587E-01  0.33587E-01  (  0.02 s,   0.0 h)
 iter    94 lrate =  1.0000000000 LL =  -3.4124932098 nd =  0.0024381767, D =   0.33974E-01  0.33974E-01  (  0.02 s,   0.0 h)
 iter    95 lrate =  1.0000000000 LL =  -3.4122586424 nd =  0.0024092283, D =   0.34366E-01  0.34366E-01  (  0.02 s,   0.0 h)
 iter    96 lrate =  1.0000000000 LL =  -3.4120296844 nd =  0.0023812161, D =   0.34752E-01  0.34752E-01  (  0.02 s,   0.0 h)
 iter    97 lrate =  1.0000000000 LL =  -3.4118060494 nd =  0.0023534404, D =   0.35110E-01  0.35110E-01  (  0.02 s,   0.0 h)
 iter    98 lrate =  1.0000000000 LL =  -3.4115878542 nd =  0.0023303899, D =   0.35453E-01  0.35453E-01  (  0.02 s,   0.0 h)
 iter    99 lrate =  1.0000000000 LL =  -3.4113733031 nd =  0.0023190738, D =   0.35796E-01  0.35796E-01  (  0.02 s,   0.0 h)
 iter   100 lrate =  1.0000000000 LL =  -3.4111611135 nd =  0.0023100263, D =   0.36133E-01  0.36133E-01  (  0.02 s,   0.0 h)
 iter   101 lrate =  1.0000000000 LL =  -3.4111269605 nd =  0.0023724109, D =   0.36133E-01  0.36133E-01  (  0.12 s,   0.0 h)
 iter   102 lrate =  1.0000000000 LL =  -3.4110992938 nd =  0.0024074645, D =   0.36133E-01  0.36133E-01  (  0.03 s,   0.0 h)
 iter   103 lrate =  1.0000000000 LL =  -3.4110740903 nd =  0.0024315983, D =   0.36133E-01  0.36133E-01  (  0.04 s,   0.0 h)
 iter   104 lrate =  1.0000000000 LL =  -3.4110504058 nd =  0.0024510361, D =   0.36133E-01  0.36133E-01  (  0.05 s,   0.0 h)
 iter   105 lrate =  1.0000000000 LL =  -3.4110278708 nd =  0.0024672904, D =   0.36133E-01  0.36133E-01  (  0.02 s,   0.0 h)
 iter   106 lrate =  1.0000000000 LL =  -3.4110061724 nd =  0.0024827889, D =   0.36133E-01  0.36133E-01  (  0.02 s,   0.0 h)
 iter   107 lrate =  1.0000000000 LL =  -3.4107868754 nd =  0.0024250203, D =   0.36814E-01  0.36814E-01  (  0.02 s,   0.0 h)
 iter   108 lrate =  1.0000000000 LL =  -3.4105713994 nd =  0.0023984854, D =   0.37117E-01  0.37117E-01  (  0.03 s,   0.0 h)
 iter   109 lrate =  1.0000000000 LL =  -3.4103593025 nd =  0.0023722017, D =   0.37361E-01  0.37361E-01  (  0.04 s,   0.0 h)
 iter   110 lrate =  1.0000000000 LL =  -3.4101493875 nd =  0.0023502822, D =   0.37586E-01  0.37586E-01  (  0.04 s,   0.0 h)
 iter   111 lrate =  1.0000000000 LL =  -3.4099417155 nd =  0.0023258030, D =   0.37802E-01  0.37802E-01  (  0.03 s,   0.0 h)
 iter   112 lrate =  1.0000000000 LL =  -3.4097376965 nd =  0.0023044154, D =   0.38028E-01  0.38028E-01  (  0.02 s,   0.0 h)
 iter   113 lrate =  1.0000000000 LL =  -3.4095369295 nd =  0.0022728335, D =   0.38253E-01  0.38253E-01  (  0.02 s,   0.0 h)
 iter   114 lrate =  1.0000000000 LL =  -3.4093401867 nd =  0.0022411232, D =   0.38483E-01  0.38483E-01  (  0.02 s,   0.0 h)
 iter   115 lrate =  1.0000000000 LL =  -3.4091474757 nd =  0.0022047477, D =   0.38696E-01  0.38696E-01  (  0.02 s,   0.0 h)
 iter   116 lrate =  1.0000000000 LL =  -3.4089595439 nd =  0.0021727387, D =   0.38905E-01  0.38905E-01  (  0.02 s,   0.0 h)
 iter   117 lrate =  1.0000000000 LL =  -3.4087771803 nd =  0.0021367236, D =   0.39114E-01  0.39114E-01  (  0.02 s,   0.0 h)
 iter   118 lrate =  1.0000000000 LL =  -3.4086006334 nd =  0.0021032613, D =   0.39306E-01  0.39306E-01  (  0.02 s,   0.0 h)
 iter   119 lrate =  1.0000000000 LL =  -3.4084266708 nd =  0.0020774563, D =   0.39490E-01  0.39490E-01  (  0.02 s,   0.0 h)
 iter   120 lrate =  1.0000000000 LL =  -3.4082576902 nd =  0.0020433907, D =   0.39673E-01  0.39673E-01  (  0.02 s,   0.0 h)
 iter   121 lrate =  1.0000000000 LL =  -3.4080954012 nd =  0.0020021576, D =   0.39865E-01  0.39865E-01  (  0.12 s,   0.0 h)
 iter   122 lrate =  1.0000000000 LL =  -3.4079376273 nd =  0.0019607705, D =   0.40058E-01  0.40058E-01  (  0.03 s,   0.0 h)
 iter   123 lrate =  1.0000000000 LL =  -3.4077852696 nd =  0.0019146577, D =   0.40258E-01  0.40258E-01  (  0.04 s,   0.0 h)
 iter   124 lrate =  1.0000000000 LL =  -3.4076417105 nd =  0.0018691078, D =   0.40465E-01  0.40465E-01  (  0.09 s,   0.0 h)
 iter   125 lrate =  1.0000000000 LL =  -3.4075022512 nd =  0.0018294815, D =   0.40657E-01  0.40657E-01  (  0.10 s,   0.0 h)
 iter   126 lrate =  1.0000000000 LL =  -3.4073682268 nd =  0.0017855727, D =   0.40833E-01  0.40833E-01  (  0.04 s,   0.0 h)
 iter   127 lrate =  1.0000000000 LL =  -3.4072397921 nd =  0.0017445247, D =   0.41012E-01  0.41012E-01  (  0.03 s,   0.0 h)
 iter   128 lrate =  1.0000000000 LL =  -3.4071146477 nd =  0.0017136319, D =   0.41193E-01  0.41193E-01  (  0.02 s,   0.0 h)
 iter   129 lrate =  1.0000000000 LL =  -3.4069938596 nd =  0.0016868833, D =   0.41361E-01  0.41361E-01  (  0.02 s,   0.0 h)
 iter   130 lrate =  1.0000000000 LL =  -3.4068738093 nd =  0.0016739302, D =   0.41518E-01  0.41518E-01  (  0.02 s,   0.0 h)
 iter   131 lrate =  1.0000000000 LL =  -3.4067541194 nd =  0.0016659445, D =   0.41657E-01  0.41657E-01  (  0.02 s,   0.0 h)
 iter   132 lrate =  1.0000000000 LL =  -3.4066339794 nd =  0.0016694013, D =   0.41793E-01  0.41793E-01  (  0.02 s,   0.0 h)
 iter   133 lrate =  1.0000000000 LL =  -3.4065128925 nd =  0.0016772292, D =   0.41933E-01  0.41933E-01  (  0.02 s,   0.0 h)
 iter   134 lrate =  1.0000000000 LL =  -3.4063879880 nd =  0.0016933054, D =   0.42073E-01  0.42073E-01  (  0.02 s,   0.0 h)
 iter   135 lrate =  1.0000000000 LL =  -3.4062600385 nd =  0.0017105709, D =   0.42208E-01  0.42208E-01  (  0.02 s,   0.0 h)
 iter   136 lrate =  1.0000000000 LL =  -3.4061288354 nd =  0.0017267182, D =   0.42331E-01  0.42331E-01  (  0.02 s,   0.0 h)
 iter   137 lrate =  1.0000000000 LL =  -3.4059934593 nd =  0.0017416297, D =   0.42472E-01  0.42472E-01  (  0.02 s,   0.0 h)
 iter   138 lrate =  1.0000000000 LL =  -3.4058553030 nd =  0.0017435493, D =   0.42609E-01  0.42609E-01  (  0.02 s,   0.0 h)
 iter   139 lrate =  1.0000000000 LL =  -3.4057163000 nd =  0.0017286800, D =   0.42755E-01  0.42755E-01  (  0.02 s,   0.0 h)
 iter   140 lrate =  1.0000000000 LL =  -3.4055797056 nd =  0.0017044968, D =   0.42917E-01  0.42917E-01  (  0.02 s,   0.0 h)
 iter   141 lrate =  1.0000000000 LL =  -3.4054451228 nd =  0.0016759241, D =   0.43073E-01  0.43073E-01  (  0.14 s,   0.0 h)
 iter   142 lrate =  1.0000000000 LL =  -3.4053157514 nd =  0.0016476925, D =   0.43231E-01  0.43231E-01  (  0.04 s,   0.0 h)
 iter   143 lrate =  1.0000000000 LL =  -3.4051893456 nd =  0.0016157704, D =   0.43371E-01  0.43371E-01  (  0.04 s,   0.0 h)
 iter   144 lrate =  1.0000000000 LL =  -3.4050669554 nd =  0.0015855151, D =   0.43497E-01  0.43497E-01  (  0.02 s,   0.0 h)
 iter   145 lrate =  1.0000000000 LL =  -3.4049481912 nd =  0.0015606465, D =   0.43635E-01  0.43635E-01  (  0.02 s,   0.0 h)
 iter   146 lrate =  1.0000000000 LL =  -3.4048326589 nd =  0.0015339653, D =   0.43768E-01  0.43768E-01  (  0.02 s,   0.0 h)
 iter   147 lrate =  1.0000000000 LL =  -3.4047198018 nd =  0.0015095348, D =   0.43888E-01  0.43888E-01  (  0.02 s,   0.0 h)
 iter   148 lrate =  1.0000000000 LL =  -3.4046100106 nd =  0.0014820800, D =   0.44019E-01  0.44019E-01  (  0.03 s,   0.0 h)
 iter   149 lrate =  1.0000000000 LL =  -3.4045031199 nd =  0.0014560276, D =   0.44151E-01  0.44151E-01  (  0.02 s,   0.0 h)
 iter   150 lrate =  1.0000000000 LL =  -3.4043978326 nd =  0.0014321701, D =   0.44299E-01  0.44299E-01  (  0.02 s,   0.0 h)
 iter   151 lrate =  1.0000000000 LL =  -3.4042946286 nd =  0.0014050847, D =   0.44441E-01  0.44441E-01  (  0.02 s,   0.0 h)
 iter   152 lrate =  1.0000000000 LL =  -3.4041951581 nd =  0.0013740712, D =   0.44580E-01  0.44580E-01  (  0.02 s,   0.0 h)
 iter   153 lrate =  1.0000000000 LL =  -3.4041021690 nd =  0.0013410634, D =   0.44740E-01  0.44740E-01  (  0.02 s,   0.0 h)
 iter   154 lrate =  1.0000000000 LL =  -3.4040161682 nd =  0.0013092234, D =   0.44911E-01  0.44911E-01  (  0.02 s,   0.0 h)
 iter   155 lrate =  1.0000000000 LL =  -3.4039337519 nd =  0.0012800783, D =   0.45074E-01  0.45074E-01  (  0.02 s,   0.0 h)
 iter   156 lrate =  1.0000000000 LL =  -3.4038540526 nd =  0.0012494375, D =   0.45230E-01  0.45230E-01  (  0.02 s,   0.0 h)
 iter   157 lrate =  1.0000000000 LL =  -3.4037778220 nd =  0.0012171756, D =   0.45377E-01  0.45377E-01  (  0.02 s,   0.0 h)
 iter   158 lrate =  1.0000000000 LL =  -3.4037039544 nd =  0.0011852602, D =   0.45521E-01  0.45521E-01  (  0.02 s,   0.0 h)
 iter   159 lrate =  1.0000000000 LL =  -3.4036336220 nd =  0.0011512930, D =   0.45669E-01  0.45669E-01  (  0.02 s,   0.0 h)
 iter   160 lrate =  1.0000000000 LL =  -3.4035654428 nd =  0.0011218653, D =   0.45812E-01  0.45812E-01  (  0.02 s,   0.0 h)
 iter   161 lrate =  1.0000000000 LL =  -3.4035001432 nd =  0.0010975797, D =   0.45952E-01  0.45952E-01  (  0.12 s,   0.0 h)
 iter   162 lrate =  1.0000000000 LL =  -3.4034377161 nd =  0.0010701130, D =   0.46093E-01  0.46093E-01  (  0.04 s,   0.0 h)
 iter   163 lrate =  1.0000000000 LL =  -3.4033815707 nd =  0.0010428417, D =   0.46244E-01  0.46244E-01  (  0.05 s,   0.0 h)
 iter   164 lrate =  1.0000000000 LL =  -3.4033275544 nd =  0.0010196827, D =   0.46392E-01  0.46392E-01  (  0.03 s,   0.0 h)
 iter   165 lrate =  1.0000000000 LL =  -3.4032756022 nd =  0.0009947529, D =   0.46534E-01  0.46534E-01  (  0.02 s,   0.0 h)
 iter   166 lrate =  1.0000000000 LL =  -3.4032257098 nd =  0.0009703830, D =   0.46668E-01  0.46668E-01  (  0.02 s,   0.0 h)
 iter   167 lrate =  1.0000000000 LL =  -3.4031771582 nd =  0.0009490428, D =   0.46795E-01  0.46795E-01  (  0.02 s,   0.0 h)
 iter   168 lrate =  1.0000000000 LL =  -3.4031299792 nd =  0.0009319633, D =   0.46929E-01  0.46929E-01  (  0.04 s,   0.0 h)
 iter   169 lrate =  1.0000000000 LL =  -3.4030839645 nd =  0.0009171226, D =   0.47066E-01  0.47066E-01  (  0.05 s,   0.0 h)
 iter   170 lrate =  1.0000000000 LL =  -3.4030394112 nd =  0.0009032883, D =   0.47207E-01  0.47207E-01  (  0.04 s,   0.0 h)
