 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter    83 lrate =  1.0000000000 LL =  -3.4156680445 nd =  0.0030533784, D =   0.29170E-01  0.29170E-01  (  0.02 s,   0.0 h)
 iter    84 lrate =  1.0000000000 LL =  -3.4152958972 nd =  0.0029595750, D =   0.29675E-01  0.29675E-01  (  0.02 s,   0.0 h)
 iter    85 lrate =  1.0000000000 LL =  -3.4149468535 nd =  0.0028723660, D =   0.30175E-01  0.30175E-01  (  0.03 s,   0.0 h)
 iter    86 lrate =  1.0000000000 LL =  -3.4146154293 nd =  0.0027956523, D =   0.30684E-01  0.30684E-01  (  0.02 s,   0.0 h)
 iter    87 lrate =  1.0000000000 LL =  -3.4143007682 nd =  0.0027210160, D =   0.31188E-01  0.31188E-01  (  0.02 s,   0.0 h)
 iter    88 lrate =  1.0000000000 LL =  -3.4140035241 nd =  0.0026479420, D =   0.31668E-01  0.31668E-01  (  0.02 s,   0.0 h)
 iter    89 lrate =  1.0000000000 LL =  -3.4137204967 nd =  0.0025852928, D =   0.32138E-01  0.32138E-01  (  0.02 s,   0.0 h)
 iter    90 lrate =  1.0000000000 LL =  -3.4134500561 nd =  0.0025368431, D =   0.32580E-01  0.32580E-01  (  0.02 s,   0.0 h)
 iter    91 lrate =  1.0000000000 LL =  -3.4131898963 nd =  0.0024900405, D =   0.33004E-01  0.33004E-01  (  0.02 s,   0.0 h)
 iter    92 lrate =  1.0000000000 LL =  -3.4129405055 nd =  0.0024365096, D =   0.33405E-01  0.33405E-01  (  0.04 s,   0.0 h)
 iter    93 lrate =  1.0000000000 LL =  -3.4127008894 nd =  0.0023961831, D =   0.33797E-01  0.33797E-01  (  0.04 s,   0.0 h)
 iter    94 lrate =  1.0000000000 LL =  -3.4124697621 nd =  0.0023546482, D =   0.34193E-01  0.34193E-01  (  0.03 s,   0.0 h)
 iter    95 lrate =  1.0000000000 LL =  -3.4122470706 nd =  0.0023202331, D =   0.34572E-01  0.34572E-01  (  0.02 s,   0.0 h)
 iter    96 lrate =  1.0000000000 LL =  -3.4120302340 nd =  0.0022873620, D =   0.34947E-01  0.34947E-01  (  0.02 s,   0.0 h)
 iter    97 lrate =  1.0000000000 LL =  -3.4118195982 nd =  0.0022629378, D =   0.35297E-01  0.35297E-01  (  0.02 s,   0.0 h)
 iter    98 lrate =  1.0000000000 LL =  -3.4116151224 nd =  0.0022441930, D =   0.35629E-01  0.35629E-01  (  0.02 s,   0.0 h)
 iter    99 lrate =  1.0000000000 LL =  -3.4114136036 nd =  0.0022309720, D =   0.35934E-01  0.35934E-01  (  0.02 s,   0.0 h)
 iter   100 lrate =  1.0000000000 LL =  -3.4112142844 nd =  0.0022244125, D =   0.36217E-01  0.36217E-01  (  0.02 s,   0.0 h)
 iter   101 lrate =  1.0000000000 LL =  -3.4111822812 nd =  0.0022835283, D =   0.36217E-01  0.36217E-01  (  0.13 s,   0.1 h)
 iter   102 lrate =  1.0000000000 LL =  -3.4111562117 nd =  0.0023155471, D =   0.36217E-01  0.36217E-01  (  0.02 s,   0.0 h)
 iter   103 lrate =  1.0000000000 LL =  -3.4111314775 nd =  0.0023375782, D =   0.36217E-01  0.36217E-01  (  0.04 s,   0.0 h)
 iter   104 lrate =  1.0000000000 LL =  -3.4111078777 nd =  0.0023552602, D =   0.36217E-01  0.36217E-01  (  0.04 s,   0.0 h)
 iter   105 lrate =  1.0000000000 LL =  -3.4110855458 nd =  0.0023706748, D =   0.36217E-01  0.36217E-01  (  0.02 s,   0.0 h)
 iter   106 lrate =  1.0000000000 LL =  -3.4110647329 nd =  0.0023844906, D =   0.36217E-01  0.36217E-01  (  0.02 s,   0.0 h)
 iter   107 lrate =  1.0000000000 LL =  -3.4108589035 nd =  0.0023212384, D =   0.36807E-01  0.36807E-01  (  0.02 s,   0.0 h)
 iter   108 lrate =  1.0000000000 LL =  -3.4106587066 nd =  0.0022968737, D =   0.37066E-01  0.37066E-01  (  0.02 s,   0.0 h)
